Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic",Onions,Medium Risk,⚠️ Medium Risk: Contains Onions. Avoid if allergic!,
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Tofu, Soy Sauce, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Tofu, Soy Sauce, Sichuan Pepper. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Bread,Medium Risk,⚠️ Medium Risk: Contains Bread. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Duck,Medium Risk,⚠️ Medium Risk: Contains Duck. Avoid if allergic!,
Chow Mein,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Fish Curry,"Fish, Coconut, Spices","Spices, Coconut",High Risk,"⚠️ High Risk: Contains Spices, Coconut. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Vegetables",High Risk,"⚠️ High Risk: Contains Bread, Vegetables. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Soy Sauce, Capsicum, Paneer",High Risk,"⚠️ High Risk: Contains Soy Sauce, Capsicum, Paneer. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Soy Sauce, Garlic, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Garlic, Vegetables. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Spices, Chicken, Cornflour",High Risk,"⚠️ High Risk: Contains Spices, Chicken, Cornflour. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Vegetables, Soy Sauce, Garlic",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Garlic. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Soy Sauce, Tofu",High Risk,"⚠️ High Risk: Contains Soy Sauce, Tofu. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Shrimp, Vegetables, Rice. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery",Jaggery,Medium Risk,⚠️ Medium Risk: Contains Jaggery. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices","Spices, Potatoes, Wheat",High Risk,"⚠️ High Risk: Contains Spices, Potatoes, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Momos,"Wheat, Vegetables, Chicken","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Paneer, Cream, Spices",High Risk,"⚠️ High Risk: Contains Paneer, Cream, Spices. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Spices, Paneer, Cream",High Risk,"⚠️ High Risk: Contains Spices, Paneer, Cream. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Paneer, Spices",High Risk,"⚠️ High Risk: Contains Paneer, Spices. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Butter Naan,"Wheat, Milk, Butter, Yeast",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Fish Curry,"Fish, Coconut, Spices","Fish, Spices",High Risk,"⚠️ High Risk: Contains Fish, Spices. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery","Jaggery, Peanuts",High Risk,"⚠️ High Risk: Contains Jaggery, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Chicken Biryani,"Rice, Chicken, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Cornflour,Medium Risk,⚠️ Medium Risk: Contains Cornflour. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices","Rice, Spices, Chicken",High Risk,"⚠️ High Risk: Contains Rice, Spices, Chicken. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Spinach, Cream, Paneer",High Risk,"⚠️ High Risk: Contains Spinach, Cream, Paneer. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cauliflower, Garlic",High Risk,"⚠️ High Risk: Contains Cauliflower, Garlic. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Spices, Fish",High Risk,"⚠️ High Risk: Contains Spices, Fish. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices","Wheat, Spices, Potatoes",High Risk,"⚠️ High Risk: Contains Wheat, Spices, Potatoes. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Vegetables, Lentils",High Risk,"⚠️ High Risk: Contains Rice, Vegetables, Lentils. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Spices. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Garlic, Lentils",High Risk,"⚠️ High Risk: Contains Garlic, Lentils. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Spices, Chicken, Cornflour",High Risk,"⚠️ High Risk: Contains Spices, Chicken, Cornflour. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Tandoori Chicken,"Chicken, Yogurt, Spices","Yogurt, Chicken, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Chicken, Spices. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Chicken, Soy Sauce, Peanuts",High Risk,"⚠️ High Risk: Contains Chicken, Soy Sauce, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Aloo Paratha,"Wheat, Potatoes, Spices","Wheat, Spices",High Risk,"⚠️ High Risk: Contains Wheat, Spices. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Momos,"Wheat, Vegetables, Chicken","Chicken, Vegetables",High Risk,"⚠️ High Risk: Contains Chicken, Vegetables. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Beef, Sichuan Pepper, Tofu",High Risk,"⚠️ High Risk: Contains Beef, Sichuan Pepper, Tofu. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Spices, Kidney Beans",High Risk,"⚠️ High Risk: Contains Spices, Kidney Beans. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes","Rice, Potatoes",High Risk,"⚠️ High Risk: Contains Rice, Potatoes. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic",Garlic,Medium Risk,⚠️ Medium Risk: Contains Garlic. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Rice, Lentils",High Risk,"⚠️ High Risk: Contains Potatoes, Rice, Lentils. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Chicken, Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Chicken, Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Paneer, Capsicum, Soy Sauce",High Risk,"⚠️ High Risk: Contains Paneer, Capsicum, Soy Sauce. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables",Lentils,Medium Risk,⚠️ Medium Risk: Contains Lentils. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Duck, Hoisin Sauce, Soy Sauce",High Risk,"⚠️ High Risk: Contains Duck, Hoisin Sauce, Soy Sauce. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Vegetables, Butter",High Risk,"⚠️ High Risk: Contains Bread, Vegetables, Butter. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Paneer, Soy Sauce",High Risk,"⚠️ High Risk: Contains Paneer, Soy Sauce. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast",Yeast,Medium Risk,⚠️ Medium Risk: Contains Yeast. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Rice, Vegetables, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Rice, Vegetables, Schezwan Sauce. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices","Potatoes, Spices, Wheat",High Risk,"⚠️ High Risk: Contains Potatoes, Spices, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices","Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Spices. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Lentils",High Risk,"⚠️ High Risk: Contains Vegetables, Lentils. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast","Milk, Wheat, Yeast",High Risk,"⚠️ High Risk: Contains Milk, Wheat, Yeast. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Hoisin Sauce, Duck, Soy Sauce",High Risk,"⚠️ High Risk: Contains Hoisin Sauce, Duck, Soy Sauce. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Spices, Cream, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Cream, Paneer. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Soy Sauce, Sichuan Pepper, Tofu",High Risk,"⚠️ High Risk: Contains Soy Sauce, Sichuan Pepper, Tofu. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Sichuan Pepper, Soy Sauce, Tofu",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Soy Sauce, Tofu. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Lentils, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Lentils, Rice. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices","Rice, Spices",High Risk,"⚠️ High Risk: Contains Rice, Spices. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Soy Sauce, Garlic, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Garlic, Vegetables. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Spices, Yogurt",High Risk,"⚠️ High Risk: Contains Spices, Yogurt. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Rice, Vegetables",High Risk,"⚠️ High Risk: Contains Rice, Vegetables. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices","Rice, Chicken, Spices",High Risk,"⚠️ High Risk: Contains Rice, Chicken, Spices. Avoid if allergic!",
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Malai Kofta,"Paneer, Cream, Spices","Spices, Cream, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Cream, Paneer. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Soy Sauce, Garlic",High Risk,"⚠️ High Risk: Contains Soy Sauce, Garlic. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Coconut, Spices, Fish",High Risk,"⚠️ High Risk: Contains Coconut, Spices, Fish. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Soy Sauce, Vegetables, Garlic",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables, Garlic. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Eggs, Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Eggs, Vegetables, Rice. Avoid if allergic!","Chia Seeds, Flaxseeds"
Peanut Chikki,"Peanuts, Jaggery",Jaggery,Medium Risk,⚠️ Medium Risk: Contains Jaggery. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes",Lentils,Medium Risk,⚠️ Medium Risk: Contains Lentils. Avoid if allergic!,
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices","Spices, Chicken",High Risk,"⚠️ High Risk: Contains Spices, Chicken. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Vegetables, Wheat, Chicken",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Chicken. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Malai Kofta,"Paneer, Cream, Spices","Cream, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Paneer. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Soy Sauce, Garlic, Cauliflower",High Risk,"⚠️ High Risk: Contains Soy Sauce, Garlic, Cauliflower. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Idli Sambar,"Rice, Lentils, Vegetables","Lentils, Rice",High Risk,"⚠️ High Risk: Contains Lentils, Rice. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Tofu, Vegetables, Beef",High Risk,"⚠️ High Risk: Contains Tofu, Vegetables, Beef. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Chicken, Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Chicken, Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken 65,"Chicken, Cornflour, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Pav Bhaji,"Vegetables, Butter, Bread",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Vegetables, Shrimp",High Risk,"⚠️ High Risk: Contains Vegetables, Shrimp. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Paneer, Spices, Yogurt",High Risk,"⚠️ High Risk: Contains Paneer, Spices, Yogurt. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Rasgulla,"Milk, Sugar","Sugar, Milk",High Risk,"⚠️ High Risk: Contains Sugar, Milk. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Shrimp,Medium Risk,⚠️ Medium Risk: Contains Shrimp. Avoid if allergic!,
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Chicken Biryani,"Rice, Chicken, Spices","Chicken, Spices, Rice",High Risk,"⚠️ High Risk: Contains Chicken, Spices, Rice. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Onions, Garlic",High Risk,"⚠️ High Risk: Contains Onions, Garlic. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Chicken 65,"Chicken, Cornflour, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices","Wheat, Spices, Potatoes",High Risk,"⚠️ High Risk: Contains Wheat, Spices, Potatoes. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cornflour, Soy Sauce, Cauliflower",High Risk,"⚠️ High Risk: Contains Cornflour, Soy Sauce, Cauliflower. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Eggs",High Risk,"⚠️ High Risk: Contains Shrimp, Eggs. Avoid if allergic!","Chia Seeds, Flaxseeds"
Fish Curry,"Fish, Coconut, Spices","Spices, Fish",High Risk,"⚠️ High Risk: Contains Spices, Fish. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Rice. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Pav Bhaji,"Vegetables, Butter, Bread",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Soy Sauce, Paneer",High Risk,"⚠️ High Risk: Contains Capsicum, Soy Sauce, Paneer. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Cream, Spinach",High Risk,"⚠️ High Risk: Contains Cream, Spinach. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Potatoes, Spices","Wheat, Potatoes",High Risk,"⚠️ High Risk: Contains Wheat, Potatoes. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Masala Dosa,"Rice, Lentils, Potatoes","Lentils, Potatoes, Rice",High Risk,"⚠️ High Risk: Contains Lentils, Potatoes, Rice. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Pav Bhaji,"Vegetables, Butter, Bread",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Fried Wontons,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Fish, Spices",High Risk,"⚠️ High Risk: Contains Fish, Spices. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cauliflower, Garlic, Soy Sauce",High Risk,"⚠️ High Risk: Contains Cauliflower, Garlic, Soy Sauce. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Chicken, Wheat",High Risk,"⚠️ High Risk: Contains Chicken, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Tofu, Soy Sauce, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Tofu, Soy Sauce, Sichuan Pepper. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream","Spinach, Paneer, Cream",High Risk,"⚠️ High Risk: Contains Spinach, Paneer, Cream. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Fried Wontons,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Chicken",High Risk,"⚠️ High Risk: Contains Soy Sauce, Chicken. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Idli Sambar,"Rice, Lentils, Vegetables","Lentils, Vegetables",High Risk,"⚠️ High Risk: Contains Lentils, Vegetables. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Lentils, Vegetables",High Risk,"⚠️ High Risk: Contains Rice, Lentils, Vegetables. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Fish, Spices",High Risk,"⚠️ High Risk: Contains Fish, Spices. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper",Sichuan Pepper,Medium Risk,⚠️ Medium Risk: Contains Sichuan Pepper. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Spices",High Risk,"⚠️ High Risk: Contains Chicken, Spices. Avoid if allergic!",
